DV,IV,beta,SE,p,CI_lo,CI_hi,sig,R2,n
Social Aversion,Dystopian Index,-0.266,0.058,0.0,-0.381,-0.152,***,0.285,485
Social Aversion,Party (1=Dem→5=Rep),-0.086,0.061,0.1622,-0.206,0.035,ns,0.285,485
Social Aversion,Ideology (1=Lib→7=Con),-0.231,0.048,0.0,-0.326,-0.136,***,0.285,485
Social Aversion,Age,-0.003,0.008,0.6784,-0.019,0.012,ns,0.285,485
Social Aversion,Gender,0.395,0.083,0.0,0.231,0.559,***,0.285,485
Social Aversion,Religiosity,0.008,0.03,0.7904,-0.052,0.068,ns,0.285,485
FT Gap (D−R),Dystopian Index,1.69,1.492,0.2578,-1.241,4.622,ns,0.545,517
FT Gap (D−R),Party (1=Dem→5=Rep),-11.658,1.611,0.0,-14.823,-8.493,***,0.545,517
FT Gap (D−R),Ideology (1=Lib→7=Con),-7.597,1.261,0.0,-10.074,-5.12,***,0.545,517
FT Gap (D−R),Age,-0.001,0.209,0.9955,-0.412,0.409,ns,0.545,517
FT Gap (D−R),Gender,5.903,2.109,0.0053,1.759,10.047,**,0.545,517
FT Gap (D−R),Religiosity,1.009,0.775,0.1937,-0.514,2.531,ns,0.545,517
